Brand,Product_Name,Shipping 
Msi, MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card| GV-N105TOC-4GL, 8.99
Msi, MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, 45.00
Msi, MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Video Cards, 8.99
Gigabyte, GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING OC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card, Free
Asus, ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, Free
Asus, ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G), Free
Asus, ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-GTX1660S-O6G-EVO), Free
Evga, EVGA GeForce GTX 1660 SC ULTRA GAMING| 06G-P4-1067-KR| 6GB GDDR5| Dual Fan| Metal Backplate, Free
Gigabyte, GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card, Free
Evga, EVGA GeForce GTX 1660 XC GAMING| 06G-P4-1163-KR| 6GB GDDR5| HDB Fan, Free
Asus, ASUS Dual GeForce GTX 1650 DUAL-GTX1650-O4GD6-MINI 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, Free
Msi, MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD (rev. 2.0) 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card, 99.99
Gigabyte, GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GL 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Low Profile Ready Video Card, Free
Asus, ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING), 45.00
Gigabyte, GIGABYTE GeForce GTX 1650 SUPER WINDFORCE OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR6| GV-N165SWF2OC-4GD Video Card, Free
Asus, View Return Policy, Free
Asus, ASUS TUF Gaming GeForce GTX 1650 SUPER Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1650S-O4G-GAMING), 45.00
Evga, EVGA GeForce GTX 1080 Ti SC Black Edition GAMING| 11G-P4-6393-KR| 11GB GDDR5X| iCX Cooler & LED, Free
Gigabyte, GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card, Free
Asus, ASUS Phoenix GeForce GTX 1650 PH-GTX1650-O4GD6 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, Free
Msi, View Return Policy, Free
Evga, EVGA GeForce GTX 1070 FTW DT  GAMING ACX 3.0| 8GB GDDR5| RGB LED| 10CM FAN| 10 Power Phases| DX12| 08G-P4-6274-KR, Free
Asus, ASUS Cerberus GeForce GTX 1050 Ti 4GB OC Edition GDDR5 Gaming Graphics Card| CERBERUS-GTX1050TI-O4G, Free
Msi, MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card, Free
Evga, EVGA GeForce GTX 1650 KO ULTRA GDDR6 GAMING| 04G-P4-1457-KR| 4GB GDDR6| Dual Fan| Metal Backplate, Free
Msi, MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Gigabyte, GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card, 99.99
Gigabyte, GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GD rev. 2.0 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Video Card, Free
Evga, EVGA GeForce GTX 1060 SC GAMING| ACX 2.0 (Single Fan)| 06G-P4-6163-KR| 6GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches, Free
Msi, MSI GeForce GTX 1650 DirectX 12 GTX 1650 VENTUS XS 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card, Free
Msi, View Return Policy, 99.99
Gigabyte, GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards, 8.99
